title,area,property_type,price_annual,bedrooms,bathrooms,toilets,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,has_water
3 bedroom flat / apartment for rent,Victoria Island (Vi),Apartment,40000000.0,3.0,3.0,4.0,1,1,1,0,0,0,1,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Akoka Yaba,Apartment,500000.0,2.0,2.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,60000000.0,2.0,2.0,3.0,1,1,0,0,1,0,1,1,0,0,0,0,0
3 bedroom semi-detached duplex for rent,Lekki Phase 1 Lekki,Duplex,25000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,25000000.0,3.0,3.0,4.0,0,0,0,1,1,0,0,1,0,1,1,0,1
4 bedroom semi-detached duplex for rent,Lafiaji Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Lekki Palm Ajah,Duplex,13000000.0,4.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikate Lekki,Apartment,10000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom house for rent,Ikate Lekki,Apartment,12000000.0,2.0,2.0,3.0,0,0,1,0,0,0,0,1,1,0,0,0,0
3 bedroom house for rent,Ikate Lekki,Apartment,15000000.0,3.0,3.0,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0
4 bedroom semi-detached duplex for rent,Vgc Lekki,Duplex,15000000.0,4.0,4.0,5.0,1,0,1,0,0,1,0,1,1,0,0,0,0
4 bedroom terraced duplex for rent,Ikate Lekki,Duplex,18000000.0,4.0,4.0,5.0,1,1,0,1,0,0,0,1,1,0,0,0,1
2 bedroom flat / apartment for rent,Lekki,Apartment,5000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,Eleganza Lekki,Apartment,6000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2 bedroom flat / apartment for rent,In A Good Location At Olokunla Ajah,Apartment,3000000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,28000000.0,2.0,2.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Ikota Lekki,Duplex,12000000.0,4.0,4.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0
2 bedroom flat / apartment for rent,Ogba Ikeja,Apartment,3000000.0,2.0,2.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ikate Elegushi Lekki,Apartment,10000000.0,2.0,2.0,3.0,1,1,0,0,0,0,0,1,1,0,0,0,0
3 bedroom flat / apartment for rent,Ikate Lekki,Apartment,12000000.0,3.0,3.0,4.0,1,1,0,0,0,0,1,1,1,1,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 2 Lekki,Apartment,6000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,12000000.0,2.0,2.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Sangotedo Ajah,Duplex,7000000.0,4.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,16000000.0,3.0,3.0,4.0,1,0,0,0,1,0,0,1,1,0,0,0,0
Self contain (single rooms) for rent,Oceanbay Estate Lekki,Apartment,7200000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
4 bedroom semi-detached duplex for rent,Orchid Lekki Lekki,Duplex,10000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Orchid Lekki,Duplex,6000000.0,4.0,4.0,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0
Self contain (single rooms) for rent,Thomas Estate Ajah,Apartment,1200000.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 bedroom terraced duplex for rent,Ikate Elegushi Lekki,Duplex,18000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4 bedroom semi-detached duplex for rent,Chevron Alternative Route Lekki,Duplex,12000000.0,4.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikoyi,Apartment,40000000.0,3.0,3.0,3.0,1,1,1,0,1,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Banana Island Ikoyi,Apartment,60000000.0,3.0,3.0,4.0,1,0,1,0,1,0,0,0,1,0,0,1,0
4 bedroom semi-detached duplex for rent,Parkview Ikoyi,Duplex,50000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,15000000.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Abraham Adesan Estate Ajah Lahos Ajah,Apartment,5000000.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0
