bedroom_cat,proptype_x_beds,toilets,location_tier,premium_location,luxury_score,has_bq,is_large_premium,amenity_count,property_tier,toilet_bed_ratio,has_pool,has_gym,is_island,price_log,price_annual
3,3.0,4.0,1,1,11,0,0,3,1,1.3333333333333333,1,1,1,17.50439003707821,40000000.0
2,2.0,3.0,2,0,13,0,0,3,1,1.5,1,1,1,17.909855136853043,60000000.0
3,6.0,4.0,2,0,0,0,0,0,2,1.3333333333333333,0,0,1,17.034386422832473,25000000.0
3,3.0,4.0,2,0,10,1,0,5,1,1.3333333333333333,0,0,1,17.034386422832473,25000000.0
4,8.0,5.0,2,0,0,0,1,0,2,1.25,0,0,1,16.118095750958314,10000000.0
4,8.0,5.0,2,0,1,0,1,1,2,1.25,0,0,1,16.380459992348886,13000000.0
2,2.0,3.0,5,0,2,0,0,0,1,1.5,0,0,0,16.118095750958314,10000000.0
2,2.0,3.0,5,0,4,0,0,2,1,1.5,0,0,0,16.300417291085605,12000000.0
3,3.0,4.0,5,0,4,0,0,2,1,1.3333333333333333,0,0,0,16.52356082573315,15000000.0
4,8.0,5.0,2,0,9,0,1,3,2,1.25,1,0,1,16.52356082573315,15000000.0
4,8.0,5.0,5,0,12,1,1,5,2,1.25,1,1,0,16.705882371415992,18000000.0
2,2.0,3.0,2,0,2,0,0,0,1,1.5,0,0,1,15.424948670398354,5000000.0
2,2.0,3.0,2,0,2,0,0,0,1,1.5,0,0,1,15.607270193858982,6000000.0
2,2.0,3.0,4,0,0,0,0,0,1,1.5,0,0,1,14.914123179965662,3000000.0
2,2.0,3.0,2,0,6,0,0,2,1,1.5,1,1,1,17.147715103853763,28000000.0
4,8.0,5.0,5,0,2,0,1,2,2,1.25,0,0,0,16.300417291085605,12000000.0
2,2.0,3.0,3,0,2,0,0,0,1,1.5,0,0,0,14.914123179965662,3000000.0
2,2.0,3.0,2,0,9,0,0,3,1,1.5,1,1,1,16.118095750958314,10000000.0
3,3.0,4.0,5,0,12,0,0,4,1,1.3333333333333333,1,1,0,16.300417291085605,12000000.0
3,3.0,4.0,2,0,0,0,0,0,1,1.3333333333333333,0,0,1,15.607270193858982,6000000.0
2,2.0,3.0,2,0,3,0,0,1,1,1.5,0,0,1,16.300417291085605,12000000.0
4,8.0,6.0,5,0,0,0,1,0,2,1.5,0,0,0,15.76142084987672,7000000.0
3,3.0,4.0,2,0,9,0,0,3,1,1.3333333333333333,1,0,1,16.588099342704055,16000000.0
1,1.0,1.0,2,0,1,0,0,1,1,1.0,0,0,1,15.789591722875162,7200000.0
4,8.0,5.0,2,0,0,0,1,0,2,1.25,0,0,1,16.118095750958314,10000000.0
4,8.0,5.0,5,0,4,0,1,0,2,1.25,0,0,0,15.607270193858982,6000000.0
1,1.0,1.0,5,0,0,0,0,0,1,1.0,0,0,0,13.997832948091215,1200000.0
4,8.0,5.0,2,0,2,1,1,1,2,1.25,0,0,1,16.705882371415992,18000000.0
4,8.0,5.0,2,0,0,0,1,0,2,1.25,0,0,1,16.300417291085605,12000000.0
3,3.0,3.0,1,1,10,0,0,4,1,1.0,1,1,1,17.50439003707821,40000000.0
