title,price_clean,bedrooms,bathrooms,toilets,area,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,property_type
Newly Built 4 Bedroom Terraced Duplex,20000000.0,4.0,4.0,5.0,Ikate Lekki,0,0,1,0,0,1,0,0,1,0,1,1,Duplex
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Oniru Victoria Island,1,1,1,1,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Apartment,13000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Ikoyi,0,0,1,0,0,1,0,1,0,0,0,0,Apartment
3 Bedroom Apartment With Bq,30000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,1,1,1,1,1,0,0,1,0,0,0,0,Apartment
Furnished 2 Bedroom Apartment,30000000.0,2.0,2.0,3.0,Oniru Victoria Island,1,1,0,0,0,0,1,1,0,0,0,0,Apartment
3 Bedroom Maisonette,35000000.0,3.0,3.0,4.0,Banana Island Ikoyi,1,1,0,1,0,0,0,1,0,0,0,0,Maisonette
Multiple Office,220000.0,,,,Old Ikoyi Ikoyi,0,0,1,0,0,0,0,0,0,0,0,0,Office
Commercial Property,100000000.0,,,,Victoria Island,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
Commercial Property,80000000.0,,,,Victoria Island,0,0,1,0,0,1,0,0,0,0,0,0,Commercial
16 Units Of 3 Bedroom Apartment,380000000.0,4.0,4.0,4.0,Ikeja Gra Ikeja,1,0,0,1,1,0,0,0,1,0,0,1,Apartment
Waterfront Apartment,130000000.0,,,,Lekki Phase 1 Lekki,1,0,0,0,0,0,0,1,0,0,0,0,Apartment
3 Bedroom Apartment,25000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,1,0,1,0,0,1,0,1,0,0,0,0,Apartment
3 Bedroom Apartment,30000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,1,1,1,1,0,0,0,1,0,0,0,0,Apartment
4 Bedroom Terrace Apartment,15000000.0,4.0,4.0,5.0,Lekki,0,0,1,0,0,0,0,0,0,0,0,0,Terrace
4 Bedroom Semi Detached Duplex With Bq,40000000.0,4.0,4.0,5.0,Oniru Victoria Island,0,0,1,1,0,0,0,0,0,0,0,0,Duplex
4 Bedroom Townhouse,60000000.0,4.0,4.0,5.0,Oniru Victoria Island,0,0,1,1,0,0,1,1,0,0,0,0,Townhouse
2 Bedroom Maisonette,12000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,1,0,1,0,0,0,0,0,0,0,0,0,Maisonette
3 Bedroom Flat With Bq,40000000.0,3.0,3.0,4.0,Victoria Island,1,0,0,1,1,0,1,1,0,0,0,0,Apartment
Shop / Office Space,2000000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Office
4 Bedroom Terraced Duplex,20000000.0,4.0,4.0,5.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,0,1,0,0,0,0,Duplex
3 Bedroom Apartment,50000000.0,3.0,3.0,4.0,Banana Island Ikoyi,0,0,0,0,0,1,0,1,0,0,0,0,Apartment
Furnished 2 Bedroom Flat,16000000.0,2.0,2.0,3.0,Banana Island Road Mojisola Onikoyi Estate Ikoyi,1,1,0,0,0,0,1,1,0,0,0,0,Apartment
4 Bedroom Penthouse,65000000.0,4.0,4.0,5.0,Bourdillon Ikoyi,1,0,1,0,0,0,0,1,0,0,0,0,Other
3 Bedroom Apartment,240000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Partitioned Villa,20000000.0,3.0,3.0,4.0,Lekki,1,1,1,0,1,0,0,1,0,0,0,0,Villa
4 Bedroom Terraced Duplex,20000000.0,4.0,4.0,5.0,Oniru Victoria Island,0,0,1,0,0,0,0,1,0,0,0,0,Duplex
3 Bedroom Maisonette With Bq,30000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,1,1,0,1,0,0,0,1,0,0,0,0,Maisonette
Waterfront Apartment,130000000.0,,,,Lekki Phase 1 Lekki,1,0,0,0,0,0,0,1,0,0,0,0,Apartment
4 Bedroom Terrace Apartment,15000000.0,4.0,4.0,5.0,Lekki,0,0,1,0,0,0,0,0,0,0,0,0,Terrace
3 Bedroom Apartment,25000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,1,0,1,0,0,1,0,1,0,0,0,0,Apartment
3 Bedroom Apartment,30000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,1,1,1,1,0,0,0,1,0,0,0,0,Apartment
5 Bedroom Fully Detached Duplex With Bq,450000000.0,5.0,5.0,6.0,Chevron Lekki,1,0,0,1,0,0,0,0,0,0,0,0,Duplex
3 Bedroom Flat With Bq,40000000.0,3.0,3.0,4.0,Victoria Island,1,0,0,1,1,0,1,1,0,0,0,0,Apartment
4 Bedroom Townhouse,60000000.0,4.0,4.0,5.0,Oniru Victoria Island,0,0,1,1,0,0,1,1,0,0,0,0,Townhouse
Shop / Office Space,2000000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Office
4 Bedroom Semi Detached Duplex With Bq,40000000.0,4.0,4.0,5.0,Oniru Victoria Island,0,0,1,1,0,0,0,0,0,0,0,0,Duplex
2 Bedroom Maisonette,12000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,1,0,1,0,0,0,0,0,0,0,0,0,Maisonette
4 Bedroom Terraced Duplex,20000000.0,4.0,4.0,5.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,0,1,0,0,0,0,Duplex
3 Bedroom Apartment,50000000.0,3.0,3.0,4.0,Banana Island Ikoyi,0,0,0,0,0,1,0,1,0,0,0,0,Apartment
2 Bedroom Apartment,5500000.0,2.0,2.0,3.0,Osapa London Lekki,0,0,1,0,0,1,0,1,0,0,0,0,Apartment
3 Bedroom Terrace House,40000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,1,1,0,1,0,0,0,1,0,0,0,0,Terrace
3 Bedroom Apartment,60000000.0,3.0,3.0,4.0,Victoria Island,1,1,1,1,1,0,0,1,0,0,0,0,Apartment
3 Bedroom Apartment + Bq,25000000.0,3.0,3.0,4.0,Ikoyi,0,0,1,1,1,0,0,1,0,0,0,0,Apartment
Newly Built 2 Bedroom Terraced Duplex,15000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,0,0,1,0,0,1,0,1,1,0,1,1,Duplex
3 Bedroom Apartment With Bq,25000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,1,0,1,1,1,0,0,1,0,0,0,0,Apartment
Furnished 3 Bedroom Apartment,3000000.0,3.0,3.0,4.0,Victoria Island,0,1,1,0,1,0,1,0,0,0,0,0,Apartment
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,1,0,1,1,1,0,0,0,0,0,0,0,Apartment
3 Bedroom Apartment,40000000.0,3.0,3.0,4.0,Banana Island Ikoyi,1,0,0,0,0,0,0,1,0,0,0,0,Apartment
Office Spaces,100000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Office
2 Bedroom Apartment,12000000.0,2.0,2.0,3.0,Ikate Lekki,0,0,0,0,0,0,1,1,0,0,0,0,Apartment
3 Bedroom Apartment With Bq,13000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Apartment
5 Bedroom Coomercial\,70000000.0,,,,Lekki Phase 1 Lekki,0,1,0,0,0,0,0,0,0,0,0,0,Other
